dimension,value,n,f0b_rmse_log,challenger_rmse_log,relative_improvement_vs_f0b
pos_group,DEF,316,0.8956399777337726,0.8120830967259063,0.09329293363979721
pos_group,FWD,338,0.7213349649802935,0.6588438059381784,0.08663264929050311
pos_group,MID,271,0.734905888401371,0.6654834136373601,0.09446444212744651
eval_split,calibration,526,0.7435715324835708,0.678106019091427,0.08804198457340788
eval_split,tune,399,0.8449976537856192,0.7645999508062925,0.09514547480592657
