n_metric_known,n_unknown_minutes,n_observed_minutes,zero_rows,raw_mean,raw_median,raw_p90,raw_p99,per90_mean,per90_median,per90_p90,per90_p99,n_low_minutes_under_450,metric,source_column
21712.0,13.0,21699.0,2900.0,19.57463477579612,13.0,50.0,85.0,1.5521071858479676,1.3345690454124188,2.8125,7.000259740259746,6008.0,tackles,defense__Tkl_Tackles
21740.0,13.0,21727.0,4273.0,12.22124545496387,6.0,34.0,63.0,0.8771276272137557,0.676126878130217,1.8105312208760491,3.6,6023.0,interceptions,defense__Int
24382.0,1.0,24381.0,5863.0,1.4937041138591658,0.6,4.2,12.0,0.12283787668347722,0.05555555555555555,0.32074468085106383,0.7944404591104747,8445.0,npxg,standard__npxG_Expected
24382.0,1.0,24381.0,6439.0,1.152713178294582,0.5,3.3,7.7,0.09258046508214901,0.05087620124364047,0.20801232665639446,0.5113636363636364,8445.0,xag,standard__xAG_Expected
24382.0,1.0,24381.0,3054.0,45.493991222673394,26.0,118.0,225.20000000000073,3.4165806059034223,3.0806036069193965,6.206896551724138,12.857142857142858,8445.0,prog_actions,standard__PrgP_Progression
