season,league,role,minutes_band,player_seasons
2016,Ligue 1,Midfield,900-1799,46
2016,Ligue 1,Midfield,<450,51
2016,Ligue 1,Midfield,unknown,9
2016,Ligue 1,Missing,<450,1
2016,Ligue 1,unknown,1800+,9
2016,Ligue 1,unknown,450-899,3
2016,Ligue 1,unknown,900-1799,7
2016,Ligue 1,unknown,<450,13
2016,Ligue 1,unknown,unknown,33
2016,Premier League,Attack,1800+,36
2016,Premier League,Attack,450-899,24
2016,Premier League,Attack,900-1799,39
2016,Premier League,Attack,<450,64
2016,Premier League,Attack,unknown,14
2016,Premier League,Defender,1800+,80
2016,Premier League,Defender,450-899,22
2016,Premier League,Defender,900-1799,33
2016,Premier League,Defender,<450,38
2016,Premier League,Defender,unknown,24
2016,Premier League,Goalkeeper,1800+,19
2016,Premier League,Goalkeeper,450-899,5
2016,Premier League,Goalkeeper,900-1799,9
2016,Premier League,Goalkeeper,<450,15
2016,Premier League,Goalkeeper,unknown,13
2016,Premier League,Midfield,1800+,65
2016,Premier League,Midfield,450-899,16
2016,Premier League,Midfield,900-1799,39
2016,Premier League,Midfield,<450,43
2016,Premier League,Midfield,unknown,19
2016,Premier League,unknown,1800+,2
2016,Premier League,unknown,450-899,2
2016,Premier League,unknown,900-1799,3
2016,Premier League,unknown,<450,8
2016,Premier League,unknown,unknown,28
2016,Serie A,Attack,1800+,29
2016,Serie A,Attack,450-899,26
2016,Serie A,Attack,900-1799,44
2016,Serie A,Attack,<450,37
2016,Serie A,Attack,unknown,12
2016,Serie A,Defender,1800+,74
2016,Serie A,Defender,450-899,33
2016,Serie A,Defender,900-1799,47
2016,Serie A,Defender,<450,44
2016,Serie A,Defender,unknown,35
2016,Serie A,Goalkeeper,1800+,20
2016,Serie A,Goalkeeper,450-899,4
2016,Serie A,Goalkeeper,900-1799,2
2016,Serie A,Goalkeeper,<450,22
2016,Serie A,Goalkeeper,unknown,24
2016,Serie A,Midfield,1800+,64
2016,Serie A,Midfield,450-899,29
2016,Serie A,Midfield,900-1799,44
2016,Serie A,Midfield,<450,47
2016,Serie A,Midfield,unknown,23
2016,Serie A,unknown,1800+,2
2016,Serie A,unknown,450-899,6
2016,Serie A,unknown,900-1799,4
2016,Serie A,unknown,<450,6
2016,Serie A,unknown,unknown,68
2017,Bundesliga,Attack,1800+,28
2017,Bundesliga,Attack,450-899,23
2017,Bundesliga,Attack,900-1799,34
2017,Bundesliga,Attack,<450,43
2017,Bundesliga,Attack,unknown,7
2017,Bundesliga,Defender,1800+,62
2017,Bundesliga,Defender,450-899,22
2017,Bundesliga,Defender,900-1799,49
2017,Bundesliga,Defender,<450,26
2017,Bundesliga,Defender,unknown,14
2017,Bundesliga,Goalkeeper,1800+,17
2017,Bundesliga,Goalkeeper,450-899,5
2017,Bundesliga,Goalkeeper,900-1799,5
2017,Bundesliga,Goalkeeper,<450,6
2017,Bundesliga,Goalkeeper,unknown,18
2017,Bundesliga,Midfield,1800+,50
2017,Bundesliga,Midfield,450-899,18
2017,Bundesliga,Midfield,900-1799,34
2017,Bundesliga,Midfield,<450,36
2017,Bundesliga,Midfield,unknown,6
2017,Bundesliga,unknown,1800+,3
2017,Bundesliga,unknown,450-899,1
2017,Bundesliga,unknown,900-1799,4
2017,Bundesliga,unknown,<450,9
2017,Bundesliga,unknown,unknown,32
2017,La Liga,Attack,1800+,37
2017,La Liga,Attack,450-899,27
2017,La Liga,Attack,900-1799,48
2017,La Liga,Attack,<450,42
2017,La Liga,Attack,unknown,14
2017,La Liga,Defender,1800+,77
2017,La Liga,Defender,450-899,21
2017,La Liga,Defender,900-1799,53
2017,La Liga,Defender,<450,25
2017,La Liga,Defender,unknown,8
2017,La Liga,Goalkeeper,1800+,19
2017,La Liga,Goalkeeper,450-899,2
2017,La Liga,Goalkeeper,900-1799,10
2017,La Liga,Goalkeeper,<450,17
2017,La Liga,Goalkeeper,unknown,16
2017,La Liga,Midfield,1800+,58
2017,La Liga,Midfield,450-899,26
2017,La Liga,Midfield,900-1799,42
2017,La Liga,Midfield,<450,33
2017,La Liga,Midfield,unknown,14
2017,La Liga,Missing,900-1799,1
2017,La Liga,unknown,1800+,1
2017,La Liga,unknown,450-899,3
2017,La Liga,unknown,900-1799,3
2017,La Liga,unknown,<450,11
2017,La Liga,unknown,unknown,15
2017,Ligue 1,Attack,1800+,39
2017,Ligue 1,Attack,450-899,28
2017,Ligue 1,Attack,900-1799,32
2017,Ligue 1,Attack,<450,52
2017,Ligue 1,Attack,unknown,10
2017,Ligue 1,Defender,1800+,71
2017,Ligue 1,Defender,450-899,20
2017,Ligue 1,Defender,900-1799,53
2017,Ligue 1,Defender,<450,39
2017,Ligue 1,Defender,unknown,13
2017,Ligue 1,Goalkeeper,1800+,19
2017,Ligue 1,Goalkeeper,450-899,6
2017,Ligue 1,Goalkeeper,900-1799,4
2017,Ligue 1,Goalkeeper,<450,16
2017,Ligue 1,Goalkeeper,unknown,17
2017,Ligue 1,Midfield,1800+,60
2017,Ligue 1,Midfield,450-899,26
2017,Ligue 1,Midfield,900-1799,46
2017,Ligue 1,Midfield,<450,49
2017,Ligue 1,Midfield,unknown,15
2017,Ligue 1,Missing,<450,1
2017,Ligue 1,Missing,unknown,1
2017,Ligue 1,unknown,1800+,6
2017,Ligue 1,unknown,900-1799,3
2017,Ligue 1,unknown,<450,5
2017,Ligue 1,unknown,unknown,22
2017,Premier League,Attack,1800+,36
2017,Premier League,Attack,450-899,29
2017,Premier League,Attack,900-1799,43
2017,Premier League,Attack,<450,50
2017,Premier League,Attack,unknown,12
2017,Premier League,Defender,1800+,77
2017,Premier League,Defender,450-899,27
2017,Premier League,Defender,900-1799,38
2017,Premier League,Defender,<450,39
2017,Premier League,Defender,unknown,18
2017,Premier League,Goalkeeper,1800+,20
2017,Premier League,Goalkeeper,450-899,5
2017,Premier League,Goalkeeper,900-1799,7
2017,Premier League,Goalkeeper,<450,11
2017,Premier League,Goalkeeper,unknown,21
2017,Premier League,Midfield,1800+,56
2017,Premier League,Midfield,450-899,17
2017,Premier League,Midfield,900-1799,47
2017,Premier League,Midfield,<450,36
2017,Premier League,Midfield,unknown,20
2017,Premier League,unknown,450-899,1
2017,Premier League,unknown,900-1799,1
2017,Premier League,unknown,<450,4
2017,Premier League,unknown,unknown,29
2017,Serie A,Attack,1800+,37
2017,Serie A,Attack,450-899,27
2017,Serie A,Attack,900-1799,26
2017,Serie A,Attack,<450,54
2017,Serie A,Attack,unknown,17
2017,Serie A,Defender,1800+,70
2017,Serie A,Defender,450-899,29
2017,Serie A,Defender,900-1799,46
2017,Serie A,Defender,<450,42
2017,Serie A,Defender,unknown,32
2017,Serie A,Goalkeeper,1800+,20
2017,Serie A,Goalkeeper,450-899,5
2017,Serie A,Goalkeeper,900-1799,5
2017,Serie A,Goalkeeper,<450,17
2017,Serie A,Goalkeeper,unknown,43
2017,Serie A,Midfield,1800+,68
2017,Serie A,Midfield,450-899,28
2017,Serie A,Midfield,900-1799,46
2017,Serie A,Midfield,<450,45
2017,Serie A,Midfield,unknown,18
2017,Serie A,unknown,1800+,2
2017,Serie A,unknown,450-899,3
2017,Serie A,unknown,900-1799,2
2017,Serie A,unknown,<450,10
2017,Serie A,unknown,unknown,90
2018,Bundesliga,Attack,1800+,28
2018,Bundesliga,Attack,450-899,27
2018,Bundesliga,Attack,900-1799,42
2018,Bundesliga,Attack,<450,45
2018,Bundesliga,Attack,unknown,5
2018,Bundesliga,Defender,1800+,65
2018,Bundesliga,Defender,450-899,22
2018,Bundesliga,Defender,900-1799,43
2018,Bundesliga,Defender,<450,40
2018,Bundesliga,Defender,unknown,15
2018,Bundesliga,Goalkeeper,1800+,17
2018,Bundesliga,Goalkeeper,450-899,1
2018,Bundesliga,Goalkeeper,900-1799,3
2018,Bundesliga,Goalkeeper,<450,11
2018,Bundesliga,Goalkeeper,unknown,26
2018,Bundesliga,Midfield,1800+,40
2018,Bundesliga,Midfield,450-899,13
2018,Bundesliga,Midfield,900-1799,52
2018,Bundesliga,Midfield,<450,34
2018,Bundesliga,Midfield,unknown,20
2018,Bundesliga,unknown,1800+,1
2018,La Liga,Attack,1800+,41
2018,La Liga,Attack,450-899,30
2018,La Liga,Attack,900-1799,42
2018,La Liga,Attack,<450,54
2018,La Liga,Attack,unknown,18
2018,La Liga,Defender,1800+,71
2018,La Liga,Defender,450-899,24
2018,La Liga,Defender,900-1799,60
2018,La Liga,Defender,<450,36
2018,La Liga,Defender,unknown,14
2018,La Liga,Goalkeeper,1800+,20
2018,La Liga,Goalkeeper,450-899,7
2018,La Liga,Goalkeeper,900-1799,6
2018,La Liga,Goalkeeper,<450,17
2018,La Liga,Goalkeeper,unknown,21
2018,La Liga,Midfield,1800+,57
2018,La Liga,Midfield,450-899,20
2018,La Liga,Midfield,900-1799,45
2018,La Liga,Midfield,<450,42
2018,La Liga,Midfield,unknown,11
2018,La Liga,Missing,900-1799,1
2018,La Liga,Missing,unknown,1
2018,La Liga,unknown,<450,1
2018,La Liga,unknown,unknown,3
2018,Ligue 1,Attack,1800+,45
2018,Ligue 1,Attack,450-899,22
2018,Ligue 1,Attack,900-1799,32
2018,Ligue 1,Attack,<450,51
2018,Ligue 1,Attack,unknown,11
2018,Ligue 1,Defender,1800+,78
2018,Ligue 1,Defender,450-899,16
2018,Ligue 1,Defender,900-1799,49
2018,Ligue 1,Defender,<450,39
2018,Ligue 1,Defender,unknown,29
2018,Ligue 1,Goalkeeper,1800+,18
2018,Ligue 1,Goalkeeper,450-899,3
2018,Ligue 1,Goalkeeper,900-1799,6
2018,Ligue 1,Goalkeeper,<450,14
2018,Ligue 1,Goalkeeper,unknown,26
2018,Ligue 1,Midfield,1800+,53
2018,Ligue 1,Midfield,450-899,29
2018,Ligue 1,Midfield,900-1799,48
2018,Ligue 1,Midfield,<450,48
2018,Ligue 1,Midfield,unknown,22
2018,Ligue 1,unknown,<450,2
2018,Premier League,Attack,1800+,49
2018,Premier League,Attack,450-899,19
2018,Premier League,Attack,900-1799,35
2018,Premier League,Attack,<450,56
2018,Premier League,Attack,unknown,16
2018,Premier League,Defender,1800+,83
2018,Premier League,Defender,450-899,19
2018,Premier League,Defender,900-1799,41
2018,Premier League,Defender,<450,37
2018,Premier League,Defender,unknown,26
2018,Premier League,Goalkeeper,1800+,18
2018,Premier League,Goalkeeper,900-1799,10
2018,Premier League,Goalkeeper,<450,11
2018,Premier League,Goalkeeper,unknown,26
2018,Premier League,Midfield,1800+,58
2018,Premier League,Midfield,450-899,20
2018,Premier League,Midfield,900-1799,40
2018,Premier League,Midfield,<450,34
2018,Premier League,Midfield,unknown,20
2018,Serie A,Attack,1800+,32
2018,Serie A,Attack,450-899,21
2018,Serie A,Attack,900-1799,39
2018,Serie A,Attack,<450,49
2018,Serie A,Attack,unknown,32
2018,Serie A,Defender,1800+,70
2018,Serie A,Defender,450-899,28
2018,Serie A,Defender,900-1799,57
2018,Serie A,Defender,<450,43
2018,Serie A,Defender,unknown,48
2018,Serie A,Goalkeeper,1800+,19
2018,Serie A,Goalkeeper,450-899,4
2018,Serie A,Goalkeeper,900-1799,5
2018,Serie A,Goalkeeper,<450,14
2018,Serie A,Goalkeeper,unknown,43
2018,Serie A,Midfield,1800+,67
2018,Serie A,Midfield,450-899,24
2018,Serie A,Midfield,900-1799,39
2018,Serie A,Midfield,<450,39
2018,Serie A,Midfield,unknown,40
2018,Serie A,unknown,1800+,1
2018,Serie A,unknown,<450,1
2018,Serie A,unknown,unknown,2
2019,Bundesliga,Attack,1800+,28
2019,Bundesliga,Attack,450-899,24
2019,Bundesliga,Attack,900-1799,43
2019,Bundesliga,Attack,<450,40
2019,Bundesliga,Attack,unknown,9
2019,Bundesliga,Defender,1800+,57
2019,Bundesliga,Defender,450-899,29
2019,Bundesliga,Defender,900-1799,46
2019,Bundesliga,Defender,<450,33
2019,Bundesliga,Defender,unknown,18
2019,Bundesliga,Goalkeeper,1800+,16
2019,Bundesliga,Goalkeeper,450-899,2
2019,Bundesliga,Goalkeeper,900-1799,6
2019,Bundesliga,Goalkeeper,<450,12
2019,Bundesliga,Goalkeeper,unknown,23
2019,Bundesliga,Midfield,1800+,46
2019,Bundesliga,Midfield,450-899,18
2019,Bundesliga,Midfield,900-1799,45
2019,Bundesliga,Midfield,<450,29
2019,Bundesliga,Midfield,unknown,10
2019,La Liga,Attack,1800+,43
2019,La Liga,Attack,450-899,32
2019,La Liga,Attack,900-1799,37
2019,La Liga,Attack,<450,54
2019,La Liga,Attack,unknown,12
2019,La Liga,Defender,1800+,76
2019,La Liga,Defender,450-899,30
2019,La Liga,Defender,900-1799,49
2019,La Liga,Defender,<450,33
2019,La Liga,Defender,unknown,19
2019,La Liga,Goalkeeper,1800+,20
2019,La Liga,Goalkeeper,450-899,5
2019,La Liga,Goalkeeper,900-1799,7
2019,La Liga,Goalkeeper,<450,11
2019,La Liga,Goalkeeper,unknown,21
2019,La Liga,Midfield,1800+,56
2019,La Liga,Midfield,450-899,18
2019,La Liga,Midfield,900-1799,35
2019,La Liga,Midfield,<450,37
2019,La Liga,Midfield,unknown,16
2019,La Liga,Missing,900-1799,1
2019,La Liga,unknown,1800+,1
2019,La Liga,unknown,900-1799,1
2019,La Liga,unknown,unknown,1
2019,Ligue 1,Attack,1800+,40
2019,Ligue 1,Attack,450-899,29
2019,Ligue 1,Attack,900-1799,42
2019,Ligue 1,Attack,<450,48
2019,Ligue 1,Attack,unknown,18
2019,Ligue 1,Defender,1800+,83
2019,Ligue 1,Defender,450-899,25
2019,Ligue 1,Defender,900-1799,41
2019,Ligue 1,Defender,<450,46
2019,Ligue 1,Defender,unknown,30
2019,Ligue 1,Goalkeeper,1800+,20
2019,Ligue 1,Goalkeeper,450-899,3
2019,Ligue 1,Goalkeeper,900-1799,5
2019,Ligue 1,Goalkeeper,<450,9
2019,Ligue 1,Goalkeeper,unknown,25
2019,Ligue 1,Midfield,1800+,57
2019,Ligue 1,Midfield,450-899,16
2019,Ligue 1,Midfield,900-1799,41
2019,Ligue 1,Midfield,<450,54
2019,Ligue 1,Midfield,unknown,21
2019,Ligue 1,unknown,450-899,1
2019,Ligue 1,unknown,<450,1
2019,Premier League,Attack,1800+,47
2019,Premier League,Attack,450-899,25
2019,Premier League,Attack,900-1799,38
2019,Premier League,Attack,<450,36
2019,Premier League,Attack,unknown,10
2019,Premier League,Defender,1800+,81
2019,Premier League,Defender,450-899,21
2019,Premier League,Defender,900-1799,42
2019,Premier League,Defender,<450,30
2019,Premier League,Defender,unknown,22
2019,Premier League,Goalkeeper,1800+,19
2019,Premier League,Goalkeeper,450-899,3
2019,Premier League,Goalkeeper,900-1799,6
2019,Premier League,Goalkeeper,<450,11
2019,Premier League,Goalkeeper,unknown,19
2019,Premier League,Midfield,1800+,58
2019,Premier League,Midfield,450-899,20
2019,Premier League,Midfield,900-1799,33
2019,Premier League,Midfield,<450,37
2019,Premier League,Midfield,unknown,16
2019,Premier League,unknown,900-1799,1
2019,Premier League,unknown,<450,1
2019,Serie A,Attack,1800+,38
2019,Serie A,Attack,450-899,25
2019,Serie A,Attack,900-1799,36
2019,Serie A,Attack,<450,45
2019,Serie A,Attack,unknown,22
2019,Serie A,Defender,1800+,77
2019,Serie A,Defender,450-899,26
2019,Serie A,Defender,900-1799,50
2019,Serie A,Defender,<450,39
2019,Serie A,Defender,unknown,38
2019,Serie A,Goalkeeper,1800+,16
2019,Serie A,Goalkeeper,450-899,5
2019,Serie A,Goalkeeper,900-1799,9
2019,Serie A,Goalkeeper,<450,17
2019,Serie A,Goalkeeper,unknown,44
2019,Serie A,Midfield,1800+,62
2019,Serie A,Midfield,450-899,27
2019,Serie A,Midfield,900-1799,44
2019,Serie A,Midfield,<450,52
2019,Serie A,Midfield,unknown,42
2019,Serie A,unknown,900-1799,1
2019,Serie A,unknown,unknown,3
2020,Bundesliga,Attack,1800+,27
2020,Bundesliga,Attack,450-899,21
2020,Bundesliga,Attack,900-1799,44
2020,Bundesliga,Attack,<450,58
2020,Bundesliga,Attack,unknown,14
2020,Bundesliga,Defender,1800+,57
2020,Bundesliga,Defender,450-899,22
2020,Bundesliga,Defender,900-1799,55
2020,Bundesliga,Defender,<450,31
2020,Bundesliga,Defender,unknown,23
2020,Bundesliga,Goalkeeper,1800+,17
2020,Bundesliga,Goalkeeper,450-899,3
2020,Bundesliga,Goalkeeper,900-1799,5
2020,Bundesliga,Goalkeeper,<450,10
2020,Bundesliga,Goalkeeper,unknown,26
2020,Bundesliga,Midfield,1800+,41
2020,Bundesliga,Midfield,450-899,32
2020,Bundesliga,Midfield,900-1799,35
2020,Bundesliga,Midfield,<450,39
2020,Bundesliga,Midfield,unknown,33
2020,Bundesliga,unknown,900-1799,1
2020,La Liga,Attack,1800+,50
2020,La Liga,Attack,450-899,28
2020,La Liga,Attack,900-1799,37
2020,La Liga,Attack,<450,66
2020,La Liga,Attack,unknown,13
2020,La Liga,Defender,1800+,80
2020,La Liga,Defender,450-899,29
2020,La Liga,Defender,900-1799,43
2020,La Liga,Defender,<450,36
2020,La Liga,Defender,unknown,35
2020,La Liga,Goalkeeper,1800+,19
2020,La Liga,Goalkeeper,450-899,3
2020,La Liga,Goalkeeper,900-1799,5
2020,La Liga,Goalkeeper,<450,17
2020,La Liga,Goalkeeper,unknown,30
2020,La Liga,Midfield,1800+,54
2020,La Liga,Midfield,450-899,16
2020,La Liga,Midfield,900-1799,40
2020,La Liga,Midfield,<450,44
2020,La Liga,Midfield,unknown,19
2020,La Liga,unknown,1800+,1
2020,La Liga,unknown,450-899,1
2020,La Liga,unknown,900-1799,2
2020,La Liga,unknown,unknown,2
2020,Ligue 1,Attack,1800+,23
2020,Ligue 1,Attack,450-899,30
2020,Ligue 1,Attack,900-1799,44
2020,Ligue 1,Attack,<450,57
2020,Ligue 1,Attack,unknown,15
2020,Ligue 1,Defender,1800+,44
2020,Ligue 1,Defender,450-899,35
2020,Ligue 1,Defender,900-1799,63
2020,Ligue 1,Defender,<450,37
2020,Ligue 1,Defender,unknown,24
2020,Ligue 1,Goalkeeper,1800+,19
2020,Ligue 1,Goalkeeper,450-899,1
2020,Ligue 1,Goalkeeper,900-1799,2
2020,Ligue 1,Goalkeeper,<450,18
2020,Ligue 1,Goalkeeper,unknown,25
2020,Ligue 1,Midfield,1800+,28
2020,Ligue 1,Midfield,450-899,29
2020,Ligue 1,Midfield,900-1799,56
2020,Ligue 1,Midfield,<450,57
2020,Ligue 1,Midfield,unknown,18
2020,Ligue 1,unknown,unknown,1
2020,Premier League,Attack,1800+,50
2020,Premier League,Attack,450-899,25
2020,Premier League,Attack,900-1799,31
2020,Premier League,Attack,<450,39
2020,Premier League,Attack,unknown,15
2020,Premier League,Defender,1800+,71
2020,Premier League,Defender,450-899,19
2020,Premier League,Defender,900-1799,55
2020,Premier League,Defender,<450,40
2020,Premier League,Defender,unknown,31
2020,Premier League,Goalkeeper,1800+,20
2020,Premier League,Goalkeeper,450-899,5
2020,Premier League,Goalkeeper,900-1799,4
2020,Premier League,Goalkeeper,<450,9
2020,Premier League,Goalkeeper,unknown,30
2020,Premier League,Midfield,1800+,57
2020,Premier League,Midfield,450-899,20
2020,Premier League,Midfield,900-1799,41
2020,Premier League,Midfield,<450,35
2020,Premier League,Midfield,unknown,23
2020,Premier League,unknown,450-899,1
2020,Premier League,unknown,<450,1
2020,Premier League,unknown,unknown,1
2020,Serie A,Attack,1800+,34
2020,Serie A,Attack,450-899,27
2020,Serie A,Attack,900-1799,34
2020,Serie A,Attack,<450,51
2020,Serie A,Attack,unknown,29
2020,Serie A,Defender,1800+,74
2020,Serie A,Defender,450-899,30
2020,Serie A,Defender,900-1799,53
2020,Serie A,Defender,<450,56
2020,Serie A,Defender,unknown,42
2020,Serie A,Goalkeeper,1800+,19
2020,Serie A,Goalkeeper,450-899,7
2020,Serie A,Goalkeeper,900-1799,5
2020,Serie A,Goalkeeper,<450,17
2020,Serie A,Goalkeeper,unknown,40
2020,Serie A,Midfield,1800+,58
2020,Serie A,Midfield,450-899,27
2020,Serie A,Midfield,900-1799,56
2020,Serie A,Midfield,<450,51
2020,Serie A,Midfield,unknown,31
2020,Serie A,unknown,900-1799,1
2020,Serie A,unknown,unknown,1
2021,Bundesliga,Attack,1800+,29
2021,Bundesliga,Attack,450-899,31
2021,Bundesliga,Attack,900-1799,37
2021,Bundesliga,Attack,<450,52
2021,Bundesliga,Attack,unknown,10
2021,Bundesliga,Defender,1800+,51
2021,Bundesliga,Defender,450-899,20
2021,Bundesliga,Defender,900-1799,66
2021,Bundesliga,Defender,<450,34
2021,Bundesliga,Defender,unknown,21
2021,Bundesliga,Goalkeeper,1800+,17
2021,Bundesliga,Goalkeeper,450-899,1
2021,Bundesliga,Goalkeeper,900-1799,2
2021,Bundesliga,Goalkeeper,<450,14
2021,Bundesliga,Goalkeeper,unknown,28
2021,Bundesliga,Midfield,1800+,45
2021,Bundesliga,Midfield,450-899,22
2021,Bundesliga,Midfield,900-1799,38
2021,Bundesliga,Midfield,<450,44
2021,Bundesliga,Midfield,unknown,15
2021,Bundesliga,unknown,<450,2
2021,La Liga,Attack,1800+,47
2021,La Liga,Attack,450-899,27
2021,La Liga,Attack,900-1799,51
2021,La Liga,Attack,<450,59
2021,La Liga,Attack,unknown,28
2021,La Liga,Defender,1800+,74
2021,La Liga,Defender,450-899,30
2021,La Liga,Defender,900-1799,52
2021,La Liga,Defender,<450,42
2021,La Liga,Defender,unknown,40
2021,La Liga,Goalkeeper,1800+,19
2021,La Liga,Goalkeeper,450-899,5
2021,La Liga,Goalkeeper,900-1799,7
2021,La Liga,Goalkeeper,<450,10
2021,La Liga,Goalkeeper,unknown,42
2021,La Liga,Midfield,1800+,51
2021,La Liga,Midfield,450-899,25
2021,La Liga,Midfield,900-1799,38
2021,La Liga,Midfield,<450,43
2021,La Liga,Midfield,unknown,25
2021,La Liga,Missing,450-899,1
2021,La Liga,unknown,1800+,1
2021,La Liga,unknown,<450,1
2021,La Liga,unknown,unknown,2
2021,Ligue 1,Attack,1800+,38
2021,Ligue 1,Attack,450-899,29
2021,Ligue 1,Attack,900-1799,39
2021,Ligue 1,Attack,<450,64
2021,Ligue 1,Attack,unknown,18
2021,Ligue 1,Defender,1800+,76
2021,Ligue 1,Defender,450-899,16
2021,Ligue 1,Defender,900-1799,56
2021,Ligue 1,Defender,<450,42
2021,Ligue 1,Defender,unknown,41
2021,Ligue 1,Goalkeeper,1800+,20
2021,Ligue 1,Goalkeeper,450-899,7
2021,Ligue 1,Goalkeeper,900-1799,3
2021,Ligue 1,Goalkeeper,<450,9
2021,Ligue 1,Goalkeeper,unknown,35
2021,Ligue 1,Midfield,1800+,57
2021,Ligue 1,Midfield,450-899,19
2021,Ligue 1,Midfield,900-1799,47
2021,Ligue 1,Midfield,<450,61
2021,Ligue 1,Midfield,unknown,23
2021,Ligue 1,unknown,900-1799,1
2021,Ligue 1,unknown,<450,1
2021,Premier League,Attack,1800+,44
2021,Premier League,Attack,450-899,16
2021,Premier League,Attack,900-1799,48
2021,Premier League,Attack,<450,45
2021,Premier League,Attack,unknown,15
2021,Premier League,Defender,1800+,80
2021,Premier League,Defender,450-899,32
2021,Premier League,Defender,900-1799,38
2021,Premier League,Defender,<450,38
2021,Premier League,Defender,unknown,37
2021,Premier League,Goalkeeper,1800+,20
2021,Premier League,Goalkeeper,450-899,3
2021,Premier League,Goalkeeper,900-1799,3
2021,Premier League,Goalkeeper,<450,16
2021,Premier League,Goalkeeper,unknown,29
2021,Premier League,Midfield,1800+,57
2021,Premier League,Midfield,450-899,19
2021,Premier League,Midfield,900-1799,37
2021,Premier League,Midfield,<450,34
2021,Premier League,Midfield,unknown,40
2021,Premier League,unknown,<450,2
2021,Premier League,unknown,unknown,1
2021,Serie A,Attack,1800+,30
2021,Serie A,Attack,450-899,25
2021,Serie A,Attack,900-1799,45
2021,Serie A,Attack,<450,56
2021,Serie A,Attack,unknown,34
2021,Serie A,Defender,1800+,68
2021,Serie A,Defender,450-899,20
2021,Serie A,Defender,900-1799,64
2021,Serie A,Defender,<450,61
2021,Serie A,Defender,unknown,56
2021,Serie A,Goalkeeper,1800+,20
2021,Serie A,Goalkeeper,450-899,6
2021,Serie A,Goalkeeper,900-1799,3
2021,Serie A,Goalkeeper,<450,22
2021,Serie A,Goalkeeper,unknown,44
2021,Serie A,Midfield,1800+,67
2021,Serie A,Midfield,450-899,25
2021,Serie A,Midfield,900-1799,43
2021,Serie A,Midfield,<450,63
2021,Serie A,Midfield,unknown,50
2021,Serie A,unknown,1800+,1
2022,Bundesliga,Attack,1800+,31
2022,Bundesliga,Attack,450-899,23
2022,Bundesliga,Attack,900-1799,38
2022,Bundesliga,Attack,<450,57
2022,Bundesliga,Attack,unknown,13
2022,Bundesliga,Defender,1800+,62
2022,Bundesliga,Defender,450-899,30
2022,Bundesliga,Defender,900-1799,46
2022,Bundesliga,Defender,<450,44
2022,Bundesliga,Defender,unknown,12
2022,Bundesliga,Goalkeeper,1800+,17
2022,Bundesliga,Goalkeeper,450-899,4
2022,Bundesliga,Goalkeeper,900-1799,3
2022,Bundesliga,Goalkeeper,<450,16
2022,Bundesliga,Goalkeeper,unknown,16
2022,Bundesliga,Midfield,1800+,44
2022,Bundesliga,Midfield,450-899,17
2022,Bundesliga,Midfield,900-1799,36
2022,Bundesliga,Midfield,<450,53
2022,Bundesliga,Midfield,unknown,20
2022,Bundesliga,unknown,<450,2
2022,Bundesliga,unknown,unknown,18
2022,La Liga,Attack,1800+,40
2022,La Liga,Attack,450-899,35
2022,La Liga,Attack,900-1799,50
2022,La Liga,Attack,<450,71
2022,La Liga,Attack,unknown,23
2022,La Liga,Defender,1800+,72
2022,La Liga,Defender,450-899,23
2022,La Liga,Defender,900-1799,56
2022,La Liga,Defender,<450,55
2022,La Liga,Defender,unknown,25
2022,La Liga,Goalkeeper,1800+,19
2022,La Liga,Goalkeeper,450-899,3
2022,La Liga,Goalkeeper,900-1799,6
2022,La Liga,Goalkeeper,<450,15
2022,La Liga,Goalkeeper,unknown,33
2022,La Liga,Midfield,1800+,47
2022,La Liga,Midfield,450-899,21
2022,La Liga,Midfield,900-1799,54
2022,La Liga,Midfield,<450,43
2022,La Liga,Midfield,unknown,21
2022,La Liga,unknown,1800+,1
2022,La Liga,unknown,<450,7
2022,La Liga,unknown,unknown,48
2022,Ligue 1,Attack,1800+,36
2022,Ligue 1,Attack,450-899,27
2022,Ligue 1,Attack,900-1799,35
2022,Ligue 1,Attack,<450,82
2022,Ligue 1,Attack,unknown,16
2022,Ligue 1,Defender,1800+,79
2022,Ligue 1,Defender,450-899,26
2022,Ligue 1,Defender,900-1799,51
2022,Ligue 1,Defender,<450,40
2022,Ligue 1,Defender,unknown,29
2022,Ligue 1,Goalkeeper,1800+,18
2022,Ligue 1,Goalkeeper,450-899,4
2022,Ligue 1,Goalkeeper,900-1799,13
2022,Ligue 1,Goalkeeper,<450,6
2022,Ligue 1,Goalkeeper,unknown,26
2022,Ligue 1,Midfield,1800+,62
2022,Ligue 1,Midfield,450-899,21
2022,Ligue 1,Midfield,900-1799,44
2022,Ligue 1,Midfield,<450,52
2022,Ligue 1,Midfield,unknown,28
2022,Ligue 1,unknown,900-1799,1
2022,Ligue 1,unknown,<450,6
2022,Ligue 1,unknown,unknown,31
2022,Premier League,Attack,1800+,49
2022,Premier League,Attack,450-899,16
2022,Premier League,Attack,900-1799,44
2022,Premier League,Attack,<450,51
2022,Premier League,Attack,unknown,19
2022,Premier League,Defender,1800+,75
2022,Premier League,Defender,450-899,21
2022,Premier League,Defender,900-1799,56
2022,Premier League,Defender,<450,36
2022,Premier League,Defender,unknown,37
2022,Premier League,Goalkeeper,1800+,19
2022,Premier League,Goalkeeper,450-899,3
