era,to_league,pos_group,age_band,transfer_type,row_count,positive_fee_rows,positive_fee_rate,mv_coverage
2000-2009,Unknown,MID,29-32,loan,107,1.0,0.009345794392523364,0.04672897196261682
2020+,Unknown,FWD,21-24,free,107,0.0,0.0,0.8317757009345794
<2000,Unknown,DEF,21-24,free,107,0.0,0.0,0.0
2020+,Premier League,Midfield,21-24,loan,106,8.0,0.07547169811320754,1.0
2020+,Unknown,Midfield,33+,Unknown,106,0.0,0.0,1.0
<2000,Ligue 1,FWD,25-28,permanent,106,17.0,0.16037735849056603,0.0
<2000,Unknown,GK,21-24,permanent,106,9.0,0.08490566037735849,0.0
2010-2019,Ligue 1,FWD,21-24,loan,105,17.0,0.1619047619047619,1.0
<2000,Premier League,DEF,21-24,permanent,105,80.0,0.7619047619047619,0.0
2000-2009,La Liga,MID,21-24,end_of_loan,104,0.0,0.0,0.18269230769230768
2000-2009,La Liga,MID,25-28,permanent,104,65.0,0.625,0.21153846153846154
2000-2009,Ligue 1,FWD,25-28,permanent,104,76.0,0.7307692307692307,0.23076923076923078
2010-2019,Bundesliga,DEF,25-28,permanent,104,100.0,0.9615384615384616,0.9519230769230769
2020+,Premier League,Defender,21-24,loan,104,5.0,0.04807692307692308,1.0
2000-2009,La Liga,FWD,21-24,end_of_loan,103,0.0,0.0,0.3786407766990291
2000-2009,Ligue 1,DEF,21-24,end_of_loan,103,0.0,0.0,0.3300970873786408
2000-2009,Ligue 1,DEF,25-28,permanent,103,68.0,0.6601941747572816,0.30097087378640774
2010-2019,La Liga,DEF,21-24,loan,103,15.0,0.14563106796116504,0.9514563106796117
2020+,Unknown,DEF,29-32,free,103,0.0,0.0,0.8932038834951457
2020+,Unknown,MID,25-28,loan,103,3.0,0.02912621359223301,0.9320388349514563
<2000,Ligue 1,DEF,25-28,permanent,103,7.0,0.06796116504854369,0.0
2000-2009,Bundesliga,FWD,<21,permanent,102,27.0,0.2647058823529412,0.4215686274509804
2010-2019,La Liga,DEF,<21,permanent,102,38.0,0.37254901960784315,0.9117647058823529
2010-2019,Ligue 1,GK,<21,permanent,102,12.0,0.11764705882352941,0.7647058823529411
2010-2019,Serie A,MID,29-32,permanent,102,83.0,0.8137254901960784,0.9607843137254902
2020+,Unknown,Goalkeeper,29-32,free,102,0.0,0.0,1.0
<2000,Serie A,FWD,25-28,permanent,102,30.0,0.29411764705882354,0.0
2020+,Premier League,DEF,21-24,end_of_loan,101,1.0,0.009900990099009901,0.900990099009901
2000-2009,Unknown,GK,21-24,permanent,100,29.0,0.29,0.27
2020+,La Liga,FWD,21-24,end_of_loan,100,0.0,0.0,0.82
2020+,Unknown,DEF,25-28,end_of_loan,100,1.0,0.01,0.96
2020+,Serie A,Midfield,25-28,loan,99,18.0,0.18181818181818182,1.0
2000-2009,Serie A,DEF,29-32,permanent,98,41.0,0.41836734693877553,0.16326530612244897
2010-2019,La Liga,DEF,25-28,free,98,0.0,0.0,0.9897959183673469
2020+,Premier League,Attack,21-24,loan,98,10.0,0.10204081632653061,1.0
<2000,Ligue 1,MID,21-24,permanent,98,11.0,0.11224489795918367,0.0
2000-2009,La Liga,DEF,<21,permanent,97,21.0,0.21649484536082475,0.2268041237113402
2010-2019,Bundesliga,GK,<21,permanent,97,17.0,0.17525773195876287,0.9381443298969072
2020+,Serie A,Defender,21-24,loan,97,15.0,0.15463917525773196,1.0
<2000,Unknown,GK,33+,permanent,97,7.0,0.07216494845360824,0.0
2000-2009,Bundesliga,DEF,25-28,permanent,96,89.0,0.9270833333333334,0.23958333333333334
2000-2009,Unknown,GK,25-28,permanent,96,32.0,0.3333333333333333,0.22916666666666666
2020+,Serie A,Attack,21-24,loan,96,14.0,0.14583333333333334,1.0
2000-2009,Ligue 1,FWD,25-28,end_of_loan,95,0.0,0.0,0.16842105263157894
2010-2019,Unknown,DEF,33+,permanent,95,16.0,0.16842105263157894,0.7684210526315789
2020+,Unknown,DEF,29-32,permanent,95,41.0,0.43157894736842106,0.9368421052631579
2020+,Unknown,Defender,29-32,loan,95,5.0,0.05263157894736842,1.0
<2000,Premier League,MID,25-28,permanent,95,72.0,0.7578947368421053,0.0
<2000,Bundesliga,MID,<21,permanent,94,22.0,0.23404255319148937,0.0
<2000,La Liga,FWD,25-28,permanent,94,46.0,0.48936170212765956,0.0
<2000,Ligue 1,FWD,21-24,permanent,94,17.0,0.18085106382978725,0.0
<2000,Premier League,FWD,25-28,permanent,94,72.0,0.7659574468085106,0.0
<2000,Unknown,GK,25-28,permanent,94,15.0,0.1595744680851064,0.0
2010-2019,Unknown,MID,<21,end_of_loan,93,1.0,0.010752688172043012,0.9247311827956989
2020+,Unknown,MID,25-28,permanent,93,62.0,0.6666666666666666,0.9354838709677419
<2000,Unknown,FWD,25-28,loan,93,0.0,0.0,0.0
<2000,Bundesliga,FWD,25-28,permanent,92,66.0,0.717391304347826,0.0
2010-2019,Bundesliga,MID,25-28,permanent,91,91.0,1.0,0.978021978021978
2020+,Ligue 1,FWD,<21,permanent,91,23.0,0.25274725274725274,0.5384615384615384
<2000,Premier League,FWD,21-24,permanent,91,77.0,0.8461538461538461,0.0
2000-2009,La Liga,MID,<21,permanent,90,19.0,0.2111111111111111,0.23333333333333334
2020+,Unknown,Attack,29-32,Unknown,90,0.0,0.0,1.0
2020+,Unknown,MID,25-28,end_of_loan,90,0.0,0.0,0.9666666666666667
2000-2009,Unknown,DEF,29-32,loan,89,1.0,0.011235955056179775,0.10112359550561797
2010-2019,Serie A,FWD,<21,loan,89,23.0,0.25842696629213485,0.9662921348314607
2010-2019,Unknown,MID,33+,retirement,89,0.0,0.0,0.651685393258427
2020+,Unknown,Goalkeeper,<21,free,89,0.0,0.0,0.3595505617977528
2020+,Unknown,MID,25-28,free,89,0.0,0.0,0.9550561797752809
2000-2009,La Liga,DEF,25-28,permanent,88,58.0,0.6590909090909091,0.23863636363636365
2010-2019,La Liga,DEF,29-32,free,88,0.0,0.0,0.8636363636363636
2020+,Bundesliga,FWD,<21,permanent,88,19.0,0.2159090909090909,0.6022727272727273
<2000,Bundesliga,DEF,25-28,permanent,88,68.0,0.7727272727272727,0.0
2020+,Unknown,FWD,25-28,free,87,0.0,0.0,0.9310344827586207
<2000,Bundesliga,DEF,21-24,permanent,87,53.0,0.6091954022988506,0.0
<2000,Unknown,GK,29-32,permanent,87,10.0,0.11494252873563218,0.0
2000-2009,Serie A,MID,21-24,loan,86,3.0,0.03488372093023256,0.22093023255813954
2020+,LaLiga,Attack,21-24,loan,86,5.0,0.05813953488372093,0.9883720930232558
2020+,Serie A,MID,<21,permanent,86,26.0,0.3023255813953488,0.6046511627906976
2020+,Unknown,Attack,33+,free,86,0.0,0.0,1.0
2020+,Unknown,Defender,<21,permanent,86,83.0,0.9651162790697675,0.8604651162790697
2020+,Unknown,Midfield,25-28,Unknown,86,0.0,0.0,1.0
2000-2009,Unknown,GK,25-28,free,85,0.0,0.0,0.1411764705882353
2020+,Premier League,MID,21-24,end_of_loan,85,1.0,0.011764705882352941,0.8470588235294118
2020+,Unknown,FWD,25-28,end_of_loan,85,0.0,0.0,0.9882352941176471
2000-2009,La Liga,FWD,<21,permanent,84,26.0,0.30952380952380953,0.2857142857142857
2000-2009,Unknown,GK,25-28,loan,84,2.0,0.023809523809523808,0.25
2010-2019,Bundesliga,FWD,25-28,end_of_loan,84,0.0,0.0,0.8809523809523809
2020+,Bundesliga,MID,<21,permanent,84,26.0,0.30952380952380953,0.6071428571428571
2020+,Unknown,MID,29-32,free,84,0.0,0.0,0.9404761904761905
2000-2009,Bundesliga,FWD,25-28,permanent,83,78.0,0.9397590361445783,0.18072289156626506
2000-2009,Ligue 1,MID,25-28,permanent,83,55.0,0.6626506024096386,0.21686746987951808
2000-2009,Serie A,MID,29-32,permanent,83,34.0,0.40963855421686746,0.060240963855421686
2010-2019,Unknown,GK,33+,retirement,83,0.0,0.0,0.6506024096385542
2020+,Unknown,MID,29-32,permanent,83,32.0,0.3855421686746988,0.963855421686747
<2000,Ligue 1,FWD,<21,permanent,83,5.0,0.060240963855421686,0.0
2000-2009,La Liga,FWD,25-28,end_of_loan,82,0.0,0.0,0.2682926829268293
2000-2009,Serie A,GK,<21,permanent,82,6.0,0.07317073170731707,0.1951219512195122
2010-2019,Ligue 1,FWD,<21,end_of_loan,82,1.0,0.012195121951219513,0.9878048780487805
2020+,Unknown,FWD,29-32,free,82,0.0,0.0,0.9512195121951219
2000-2009,Bundesliga,MID,25-28,permanent,81,76.0,0.9382716049382716,0.14814814814814814
2010-2019,Premier League,GK,<21,end_of_loan,81,3.0,0.037037037037037035,0.691358024691358
2010-2019,Premier League,MID,29-32,end_of_loan,81,0.0,0.0,0.7901234567901234
2020+,Unknown,Attack,25-28,Unknown,81,0.0,0.0,0.9876543209876543
<2000,Unknown,FWD,33+,permanent,81,15.0,0.18518518518518517,0.0
2010-2019,La Liga,MID,25-28,free,80,0.0,0.0,0.975
2010-2019,Serie A,FWD,29-32,loan,80,19.0,0.2375,0.9125
2010-2019,Unknown,GK,<21,free,80,0.0,0.0,0.7625
2010-2019,Unknown,GK,<21,permanent,80,19.0,0.2375,0.575
2020+,Ligue 1,MID,<21,permanent,80,6.0,0.075,0.4875
2020+,Premier League,Defender,25-28,loan,80,5.0,0.0625,1.0
2020+,Serie A,DEF,21-24,permanent,80,73.0,0.9125,0.8
2020+,Unknown,MID,21-24,end_of_loan,80,3.0,0.0375,0.9375
2010-2019,Serie A,DEF,29-32,free,79,0.0,0.0,0.9240506329113924
2020+,Bundesliga,DEF,21-24,end_of_loan,79,0.0,0.0,0.9746835443037974
<2000,Ligue 1,DEF,21-24,permanent,79,5.0,0.06329113924050633,0.0
<2000,Unknown,MID,25-28,free,79,0.0,0.0,0.0
2000-2009,Serie A,DEF,21-24,loan,78,4.0,0.05128205128205128,0.3974358974358974
2000-2009,Unknown,GK,29-32,free,78,0.0,0.0,0.08974358974358974
2010-2019,Ligue 1,DEF,25-28,free,78,0.0,0.0,0.9230769230769231
2010-2019,Unknown,GK,25-28,permanent,78,35.0,0.44871794871794873,0.8846153846153846
2020+,Unknown,FWD,29-32,permanent,78,34.0,0.4358974358974359,0.9230769230769231
2010-2019,Serie A,FWD,29-32,permanent,77,68.0,0.8831168831168831,0.8701298701298701
2020+,Unknown,Goalkeeper,25-28,free,77,0.0,0.0,1.0
2020+,Unknown,Goalkeeper,25-28,loan,77,5.0,0.06493506493506493,1.0
2020+,Unknown,Midfield,29-32,loan,77,3.0,0.03896103896103896,1.0
2020+,Unknown,Midfield,<21,permanent,77,77.0,1.0,0.8701298701298701
<2000,Premier League,FWD,21-24,end_of_loan,77,0.0,0.0,0.0
2010-2019,Serie A,MID,21-24,free,76,0.0,0.0,0.7368421052631579
2020+,Ligue 1,DEF,21-24,end_of_loan,76,1.0,0.013157894736842105,0.9342105263157895
2020+,Premier League,DEF,21-24,permanent,76,73.0,0.9605263157894737,0.8947368421052632
2020+,Unknown,Midfield,33+,free,76,0.0,0.0,1.0
<2000,Premier League,MID,21-24,permanent,76,62.0,0.8157894736842105,0.0
2000-2009,Unknown,FWD,29-32,end_of_loan,75,0.0,0.0,0.05333333333333334
2010-2019,Serie A,MID,29-32,loan,75,19.0,0.25333333333333335,0.9466666666666667
<2000,Premier League,DEF,21-24,end_of_loan,75,0.0,0.0,0.0
<2000,Unknown,FWD,25-28,free,75,0.0,0.0,0.0
2000-2009,La Liga,DEF,21-24,end_of_loan,74,0.0,0.0,0.3108108108108108
2010-2019,Serie A,DEF,21-24,free,74,0.0,0.0,0.8648648648648649
2020+,Ligue 1,Attack,21-24,loan,74,6.0,0.08108108108108109,1.0
2020+,Ligue 1,DEF,21-24,permanent,74,53.0,0.7162162162162162,0.8513513513513513
2000-2009,La Liga,MID,25-28,end_of_loan,73,0.0,0.0,0.1506849315068493
2010-2019,Ligue 1,MID,21-24,loan,73,9.0,0.1232876712328767,0.9315068493150684
2000-2009,Ligue 1,DEF,21-24,free,72,0.0,0.0,0.16666666666666666
2010-2019,La Liga,DEF,21-24,free,72,0.0,0.0,0.9027777777777778
2020+,Serie A,Attack,25-28,loan,72,15.0,0.20833333333333334,1.0
<2000,La Liga,MID,<21,permanent,72,7.0,0.09722222222222222,0.0
2000-2009,Unknown,GK,29-32,permanent,71,18.0,0.2535211267605634,0.09859154929577464
2010-2019,Premier League,FWD,21-24,loan,71,19.0,0.2676056338028169,0.971830985915493
2010-2019,Premier League,GK,<21,permanent,71,18.0,0.2535211267605634,0.6056338028169014
2020+,La Liga,DEF,21-24,end_of_loan,71,0.0,0.0,0.9154929577464789
2020+,Ligue 1,FWD,21-24,end_of_loan,71,3.0,0.04225352112676056,0.8732394366197183
2020+,Unknown,Goalkeeper,33+,Unknown,71,0.0,0.0,1.0
<2000,Unknown,DEF,25-28,free,71,0.0,0.0,0.0
2000-2009,Bundesliga,MID,25-28,free,70,0.0,0.0,0.17142857142857143
2000-2009,Ligue 1,GK,<21,permanent,70,3.0,0.04285714285714286,0.17142857142857143
2000-2009,Premier League,GK,<21,permanent,70,14.0,0.2,0.17142857142857143
2000-2009,Unknown,DEF,29-32,end_of_loan,70,0.0,0.0,0.08571428571428572
2010-2019,Ligue 1,DEF,25-28,end_of_loan,70,0.0,0.0,0.9142857142857143
2020+,Unknown,Attack,33+,Unknown,70,0.0,0.0,1.0
<2000,Unknown,FWD,21-24,free,70,0.0,0.0,0.0
2010-2019,Serie A,DEF,29-32,loan,69,22.0,0.3188405797101449,0.9420289855072463
