era,to_league,pos_group,age_band,transfer_type,row_count,positive_fee_rows,positive_fee_rate,mv_coverage
2010-2019,Unknown,FWD,25-28,end_of_loan,304,1.0,0.003289473684210526,0.9473684210526315
2020+,Unknown,Midfield,<21,Unknown,298,0.0,0.0,0.24161073825503357
2000-2009,Unknown,MID,25-28,free,297,0.0,0.0,0.09427609427609428
2010-2019,Serie A,FWD,21-24,permanent,293,246.0,0.8395904436860068,0.8907849829351536
2020+,Unknown,Attack,21-24,permanent,290,285.0,0.9827586206896551,0.993103448275862
2020+,Unknown,Defender,29-32,free,288,0.0,0.0,1.0
2020+,Unknown,Attack,21-24,free,287,0.0,0.0,0.8641114982578397
2020+,Unknown,Attack,<21,Unknown,285,0.0,0.0,0.2736842105263158
2010-2019,Ligue 1,FWD,<21,permanent,284,69.0,0.24295774647887325,0.823943661971831
2020+,Unknown,Midfield,25-28,free,283,0.0,0.0,0.9752650176678446
2010-2019,Bundesliga,DEF,<21,permanent,282,100.0,0.3546099290780142,0.9113475177304965
2020+,Unknown,Defender,25-28,free,281,0.0,0.0,0.99644128113879
2000-2009,Unknown,DEF,21-24,free,278,0.0,0.0,0.1223021582733813
2010-2019,Ligue 1,DEF,<21,permanent,277,62.0,0.22382671480144403,0.8483754512635379
2010-2019,Unknown,DEF,<21,permanent,277,75.0,0.27075812274368233,0.6137184115523465
2010-2019,Unknown,DEF,25-28,end_of_loan,276,3.0,0.010869565217391304,0.9239130434782609
2020+,Unknown,Defender,21-24,free,274,0.0,0.0,0.8759124087591241
2020+,Unknown,Midfield,25-28,loan,273,10.0,0.03663003663003663,1.0
2010-2019,Premier League,FWD,<21,permanent,272,121.0,0.44485294117647056,0.7058823529411765
2000-2009,Unknown,DEF,25-28,free,271,0.0,0.0,0.11439114391143912
2020+,Unknown,FWD,<21,loan,271,4.0,0.014760147601476014,0.7195571955719557
2020+,Unknown,Attack,25-28,free,269,0.0,0.0,0.9962825278810409
2010-2019,Premier League,DEF,<21,permanent,268,87.0,0.3246268656716418,0.6828358208955224
2000-2009,Serie A,DEF,21-24,permanent,266,127.0,0.4774436090225564,0.33458646616541354
2000-2009,Premier League,DEF,<21,permanent,264,53.0,0.20075757575757575,0.15151515151515152
2020+,Unknown,Defender,25-28,loan,264,20.0,0.07575757575757576,0.9924242424242424
2000-2009,Premier League,DEF,<21,end_of_loan,262,1.0,0.003816793893129771,0.20610687022900764
2000-2009,Serie A,MID,<21,permanent,262,53.0,0.20229007633587787,0.16793893129770993
2010-2019,Unknown,FWD,29-32,loan,261,15.0,0.05747126436781609,0.8160919540229885
2010-2019,Unknown,MID,25-28,end_of_loan,260,1.0,0.0038461538461538464,0.9230769230769231
2010-2019,Bundesliga,FWD,<21,permanent,258,100.0,0.3875968992248062,0.9147286821705426
2010-2019,Premier League,MID,<21,permanent,258,71.0,0.2751937984496124,0.6511627906976745
2000-2009,Unknown,FWD,21-24,free,256,0.0,0.0,0.1015625
2000-2009,Unknown,MID,25-28,loan,256,5.0,0.01953125,0.11328125
2010-2019,La Liga,FWD,21-24,end_of_loan,256,0.0,0.0,0.91796875
2020+,Unknown,Midfield,29-32,free,256,0.0,0.0,1.0
2010-2019,Unknown,MID,<21,permanent,255,78.0,0.3058823529411765,0.596078431372549
2010-2019,Ligue 1,FWD,21-24,end_of_loan,252,1.0,0.003968253968253968,0.9246031746031746
2000-2009,Unknown,DEF,25-28,loan,250,2.0,0.008,0.204
2010-2019,La Liga,FWD,21-24,permanent,248,163.0,0.657258064516129,0.9314516129032258
2010-2019,Premier League,MID,<21,end_of_loan,247,5.0,0.020242914979757085,0.7489878542510121
2010-2019,Unknown,DEF,33+,free,246,0.0,0.0,0.7276422764227642
2000-2009,Premier League,MID,<21,permanent,244,52.0,0.21311475409836064,0.19262295081967212
2020+,Unknown,MID,<21,loan,242,2.0,0.008264462809917356,0.6528925619834711
2000-2009,Serie A,DEF,<21,permanent,241,35.0,0.14522821576763487,0.11203319502074689
2000-2009,Unknown,FWD,29-32,permanent,240,103.0,0.42916666666666664,0.05
2010-2019,Ligue 1,FWD,21-24,permanent,239,205.0,0.8577405857740585,0.9623430962343096
2000-2009,Unknown,FWD,29-32,free,236,0.0,0.0,0.025423728813559324
2010-2019,Unknown,FWD,<21,permanent,236,102.0,0.4322033898305085,0.6483050847457628
2010-2019,La Liga,DEF,21-24,permanent,233,133.0,0.5708154506437768,0.927038626609442
2020+,Unknown,Midfield,21-24,free,231,0.0,0.0,0.8874458874458875
2000-2009,Ligue 1,MID,<21,permanent,230,20.0,0.08695652173913043,0.1782608695652174
2000-2009,Premier League,FWD,<21,end_of_loan,230,0.0,0.0,0.30434782608695654
2000-2009,Premier League,FWD,<21,permanent,229,66.0,0.28820960698689957,0.19213973799126638
2010-2019,Bundesliga,DEF,21-24,permanent,229,191.0,0.834061135371179,0.9563318777292577
2020+,Unknown,Attack,29-32,free,228,0.0,0.0,1.0
2020+,Unknown,Goalkeeper,21-24,loan,228,6.0,0.02631578947368421,0.9429824561403509
2010-2019,Premier League,FWD,21-24,permanent,227,213.0,0.9383259911894273,0.9779735682819384
2010-2019,Bundesliga,FWD,21-24,permanent,225,203.0,0.9022222222222223,0.9822222222222222
2020+,Unknown,DEF,<21,loan,225,2.0,0.008888888888888889,0.6844444444444444
2010-2019,Serie A,DEF,25-28,permanent,224,194.0,0.8660714285714286,0.9151785714285714
2000-2009,Unknown,DEF,33+,permanent,222,12.0,0.05405405405405406,0.0
2000-2009,Serie A,FWD,<21,permanent,218,51.0,0.23394495412844038,0.1834862385321101
2010-2019,Premier League,DEF,<21,end_of_loan,218,1.0,0.0045871559633027525,0.7018348623853211
2000-2009,Unknown,FWD,25-28,free,213,0.0,0.0,0.09859154929577464
2020+,Unknown,Midfield,21-24,permanent,212,211.0,0.9952830188679245,1.0
2010-2019,Unknown,MID,<21,free,211,0.0,0.0,0.5971563981042654
2020+,Unknown,Defender,21-24,permanent,210,210.0,1.0,0.9952380952380953
2010-2019,Premier League,DEF,21-24,permanent,208,185.0,0.8894230769230769,0.9519230769230769
2010-2019,Ligue 1,DEF,21-24,permanent,206,161.0,0.7815533980582524,0.9805825242718447
2010-2019,Premier League,MID,21-24,permanent,206,194.0,0.941747572815534,0.970873786407767
2000-2009,Ligue 1,DEF,<21,permanent,205,21.0,0.1024390243902439,0.18048780487804877
2010-2019,La Liga,MID,21-24,permanent,205,133.0,0.6487804878048781,0.9219512195121952
2020+,Unknown,Goalkeeper,<21,loan,205,1.0,0.004878048780487805,0.6829268292682927
<2000,Serie A,DEF,21-24,permanent,205,29.0,0.14146341463414633,0.0
2010-2019,Bundesliga,MID,21-24,permanent,204,177.0,0.8676470588235294,0.9803921568627451
2010-2019,Bundesliga,FWD,21-24,end_of_loan,203,0.0,0.0,0.896551724137931
2010-2019,Unknown,DEF,29-32,loan,203,10.0,0.04926108374384237,0.8177339901477833
2020+,Unknown,Attack,25-28,permanent,203,201.0,0.9901477832512315,1.0
2010-2019,Premier League,FWD,25-28,permanent,202,196.0,0.9702970297029703,0.995049504950495
2000-2009,Unknown,GK,21-24,loan,201,1.0,0.004975124378109453,0.39303482587064675
2010-2019,Serie A,MID,21-24,loan,201,62.0,0.30845771144278605,0.9800995024875622
2010-2019,Serie A,DEF,21-24,loan,200,60.0,0.3,0.97
2010-2019,Unknown,MID,29-32,loan,200,9.0,0.045,0.765
2010-2019,Serie A,MID,25-28,permanent,196,172.0,0.8775510204081632,0.9438775510204082
2000-2009,Unknown,MID,<21,permanent,195,48.0,0.24615384615384617,0.11282051282051282
2020+,Unknown,Defender,<21,free,195,0.0,0.0,0.358974358974359
2000-2009,Unknown,GK,<21,loan,193,0.0,0.0,0.29015544041450775
2010-2019,Bundesliga,MID,21-24,end_of_loan,193,1.0,0.0051813471502590676,0.917098445595855
2010-2019,Unknown,MID,33+,free,193,0.0,0.0,0.7046632124352331
2000-2009,Unknown,DEF,<21,permanent,192,42.0,0.21875,0.125
2010-2019,Serie A,FWD,25-28,permanent,189,162.0,0.8571428571428571,0.9153439153439153
2010-2019,Ligue 1,MID,21-24,end_of_loan,188,0.0,0.0,0.9468085106382979
2000-2009,Bundesliga,MID,<21,permanent,187,54.0,0.2887700534759358,0.39572192513368987
2000-2009,Premier League,DEF,21-24,end_of_loan,187,1.0,0.0053475935828877,0.21390374331550802
2010-2019,La Liga,DEF,21-24,end_of_loan,187,1.0,0.0053475935828877,0.893048128342246
2020+,Unknown,FWD,25-28,loan,187,7.0,0.0374331550802139,0.8716577540106952
2000-2009,Serie A,FWD,21-24,permanent,186,91.0,0.489247311827957,0.3172043010752688
2020+,Unknown,FWD,21-24,permanent,186,107.0,0.5752688172043011,0.8924731182795699
2000-2009,Serie A,MID,21-24,permanent,184,98.0,0.532608695652174,0.31521739130434784
2000-2009,Premier League,MID,<21,end_of_loan,180,0.0,0.0,0.18333333333333332
2000-2009,Unknown,MID,21-24,end_of_loan,180,0.0,0.0,0.25
2010-2019,Premier League,GK,21-24,end_of_loan,180,2.0,0.011111111111111112,0.8833333333333333
2020+,Unknown,Attack,<21,free,180,0.0,0.0,0.34444444444444444
2020+,Unknown,Goalkeeper,<21,Unknown,178,0.0,0.0,0.21910112359550563
2000-2009,Unknown,FWD,<21,permanent,177,50.0,0.2824858757062147,0.12994350282485875
2010-2019,Ligue 1,DEF,21-24,end_of_loan,177,0.0,0.0,0.9491525423728814
2010-2019,Unknown,GK,21-24,free,177,0.0,0.0,0.7457627118644068
<2000,Unknown,MID,<21,permanent,177,16.0,0.0903954802259887,0.0
2000-2009,Premier League,MID,21-24,end_of_loan,176,0.0,0.0,0.22727272727272727
2010-2019,Premier League,FWD,25-28,end_of_loan,176,0.0,0.0,0.9318181818181818
2010-2019,Serie A,DEF,25-28,loan,176,49.0,0.2784090909090909,0.9318181818181818
2010-2019,Unknown,DEF,<21,free,176,0.0,0.0,0.5625
2000-2009,Ligue 1,FWD,<21,permanent,174,26.0,0.14942528735632185,0.20114942528735633
2000-2009,Unknown,MID,33+,permanent,174,16.0,0.09195402298850575,0.0
2010-2019,Premier League,DEF,25-28,end_of_loan,174,1.0,0.005747126436781609,0.896551724137931
2020+,Unknown,DEF,21-24,permanent,174,92.0,0.5287356321839081,0.9022988505747126
<2000,Premier League,MID,<21,permanent,174,32.0,0.1839080459770115,0.0
2000-2009,Unknown,DEF,21-24,end_of_loan,173,0.0,0.0,0.3583815028901734
2010-2019,La Liga,FWD,21-24,loan,173,22.0,0.12716763005780346,0.9653179190751445
2010-2019,Ligue 1,MID,21-24,permanent,173,140.0,0.8092485549132948,0.9595375722543352
<2000,Unknown,FWD,21-24,loan,173,0.0,0.0,0.0
<2000,Unknown,DEF,<21,permanent,172,20.0,0.11627906976744186,0.0
2010-2019,La Liga,MID,21-24,end_of_loan,170,2.0,0.011764705882352941,0.8470588235294118
2020+,Unknown,Midfield,<21,free,170,0.0,0.0,0.3352941176470588
<2000,Premier League,DEF,<21,permanent,170,29.0,0.17058823529411765,0.0
<2000,Serie A,MID,21-24,permanent,170,40.0,0.23529411764705882,0.0
2010-2019,Premier League,DEF,25-28,permanent,168,163.0,0.9702380952380952,0.9821428571428571
2020+,Unknown,Defender,25-28,permanent,167,167.0,1.0,1.0
<2000,Unknown,MID,21-24,loan,166,1.0,0.006024096385542169,0.0
2000-2009,Serie A,DEF,25-28,permanent,165,78.0,0.4727272727272727,0.2787878787878788
2010-2019,Serie A,FWD,21-24,loan,163,47.0,0.2883435582822086,1.0
2000-2009,La Liga,DEF,21-24,permanent,162,77.0,0.47530864197530864,0.32098765432098764
2010-2019,La Liga,FWD,25-28,end_of_loan,162,2.0,0.012345679012345678,0.8827160493827161
<2000,La Liga,MID,21-24,permanent,162,71.0,0.4382716049382716,0.0
2000-2009,Unknown,FWD,21-24,end_of_loan,160,0.0,0.0,0.3625
<2000,Serie A,DEF,<21,permanent,160,12.0,0.075,0.0
2000-2009,Premier League,FWD,21-24,end_of_loan,158,0.0,0.0,0.2911392405063291
2000-2009,Unknown,FWD,25-28,end_of_loan,158,0.0,0.0,0.22784810126582278
2010-2019,Premier League,MID,25-28,permanent,158,155.0,0.9810126582278481,0.9683544303797469
<2000,La Liga,DEF,21-24,permanent,156,52.0,0.3333333333333333,0.0
2010-2019,Unknown,GK,25-28,loan,155,8.0,0.05161290322580645,0.8258064516129032
2020+,Unknown,DEF,25-28,loan,155,2.0,0.012903225806451613,0.9290322580645162
2010-2019,Unknown,FWD,29-32,end_of_loan,154,0.0,0.0,0.8766233766233766
<2000,La Liga,FWD,21-24,permanent,154,89.0,0.577922077922078,0.0
2000-2009,Serie A,MID,25-28,permanent,153,83.0,0.5424836601307189,0.26143790849673204
2010-2019,La Liga,FWD,25-28,permanent,153,144.0,0.9411764705882353,0.9673202614379085
2000-2009,La Liga,MID,21-24,permanent,152,82.0,0.5394736842105263,0.2631578947368421
2000-2009,Unknown,DEF,33+,free,152,0.0,0.0,0.0
2020+,Unknown,MID,21-24,permanent,152,80.0,0.5263157894736842,0.8947368421052632
<2000,Serie A,MID,<21,permanent,152,12.0,0.07894736842105263,0.0
2010-2019,Unknown,FWD,33+,free,151,0.0,0.0,0.7417218543046358
2000-2009,Unknown,MID,<21,free,150,0.0,0.0,0.06666666666666667
2010-2019,Serie A,MID,25-28,loan,150,38.0,0.25333333333333335,0.96
2000-2009,Premier League,DEF,21-24,permanent,148,136.0,0.918918918918919,0.49324324324324326
2020+,Unknown,Midfield,25-28,permanent,148,148.0,1.0,1.0
<2000,Serie A,MID,25-28,permanent,148,36.0,0.24324324324324326,0.0
<2000,Unknown,FWD,<21,loan,148,0.0,0.0,0.0
2000-2009,Serie A,FWD,25-28,permanent,145,88.0,0.6068965517241379,0.2413793103448276
2010-2019,Unknown,GK,25-28,free,145,0.0,0.0,0.8
