season,taxonomy,fee_source,row_count,fee_nonnull_rows,positive_fee_rows
2012,loan_return,raw_api,6,6,6.0
2012,loan_with_fee,raw_api,3,3,3.0
2012,loan_with_fee,spine,130,130,130.0
2012,loan_without_fee_or_unknown,no_fee_source,1514,0,0.0
2012,other_review_required,spine,2,2,0.0
2012,paid_permanent_transfer,spine,1002,1002,1002.0
2012,permanent_undisclosed_fee,no_fee_source,787,0,0.0
2012,retirement_or_internal_exit,no_fee_source,52,0,0.0
2013,disclosed_free_transfer,spine,997,997,0.0
2013,loan_return,no_fee_source,998,0,0.0
2013,loan_return,raw_api,9,9,9.0
2013,loan_with_fee,raw_api,3,3,3.0
2013,loan_with_fee,spine,105,105,105.0
2013,loan_without_fee_or_unknown,no_fee_source,1726,0,0.0
2013,other_review_required,spine,1,1,0.0
2013,paid_permanent_transfer,spine,996,996,996.0
2013,permanent_undisclosed_fee,no_fee_source,835,0,0.0
2013,retirement_or_internal_exit,no_fee_source,46,0,0.0
2014,disclosed_free_transfer,spine,997,997,0.0
2014,loan_return,no_fee_source,1070,0,0.0
2014,loan_return,raw_api,7,7,7.0
2014,loan_with_fee,raw_api,21,21,21.0
2014,loan_with_fee,spine,104,104,104.0
2014,loan_without_fee_or_unknown,no_fee_source,1813,0,0.0
2014,other_review_required,spine,1,1,0.0
2014,paid_permanent_transfer,spine,968,968,968.0
2014,permanent_undisclosed_fee,no_fee_source,762,0,0.0
2014,retirement_or_internal_exit,no_fee_source,46,0,0.0
2015,disclosed_free_transfer,spine,993,993,0.0
2015,loan_return,no_fee_source,1035,0,0.0
2015,loan_return,raw_api,13,13,13.0
2015,loan_with_fee,raw_api,10,10,10.0
2015,loan_with_fee,spine,109,109,109.0
2015,loan_without_fee_or_unknown,no_fee_source,1583,0,0.0
2015,other_review_required,spine,2,2,0.0
2015,paid_permanent_transfer,spine,1133,1133,1133.0
2015,permanent_undisclosed_fee,no_fee_source,732,0,0.0
2015,retirement_or_internal_exit,no_fee_source,44,0,0.0
2016,disclosed_free_transfer,spine,903,903,0.0
2016,loan_return,no_fee_source,926,0,0.0
2016,loan_return,raw_api,11,11,11.0
2016,loan_with_fee,raw_api,18,18,18.0
2016,loan_with_fee,spine,105,105,105.0
2016,loan_without_fee_or_unknown,no_fee_source,1496,0,0.0
2016,other_review_required,spine,2,2,0.0
2016,paid_permanent_transfer,raw_api,1,1,1.0
2016,paid_permanent_transfer,spine,1153,1153,1153.0
2016,permanent_undisclosed_fee,no_fee_source,631,0,0.0
2016,retirement_or_internal_exit,no_fee_source,44,0,0.0
2017,disclosed_free_transfer,spine,756,756,0.0
2017,loan_return,no_fee_source,966,0,0.0
2017,loan_return,raw_api,11,11,11.0
2017,loan_with_fee,raw_api,30,30,30.0
2017,loan_with_fee,spine,131,131,131.0
2017,loan_without_fee_or_unknown,no_fee_source,1509,0,0.0
2017,paid_permanent_transfer,spine,1194,1194,1194.0
2017,permanent_undisclosed_fee,no_fee_source,571,0,0.0
2017,retirement_or_internal_exit,no_fee_source,41,0,0.0
2018,disclosed_free_transfer,spine,765,765,0.0
2018,loan_return,no_fee_source,1003,0,0.0
2018,loan_return,raw_api,8,8,8.0
2018,loan_with_fee,raw_api,49,49,49.0
2018,loan_with_fee,spine,179,179,179.0
2018,loan_without_fee_or_unknown,no_fee_source,1491,0,0.0
2018,paid_permanent_transfer,raw_api,1,1,1.0
2018,paid_permanent_transfer,spine,1148,1148,1148.0
2018,permanent_undisclosed_fee,no_fee_source,548,0,0.0
2018,retirement_or_internal_exit,no_fee_source,48,0,0.0
2019,disclosed_free_transfer,spine,786,786,0.0
2019,loan_return,no_fee_source,1027,0,0.0
2019,loan_return,raw_api,9,9,9.0
2019,loan_with_fee,raw_api,38,38,38.0
2019,loan_with_fee,spine,140,140,140.0
2019,loan_without_fee_or_unknown,no_fee_source,1522,0,0.0
2019,other_review_required,spine,1,1,0.0
2019,paid_permanent_transfer,raw_api,1,1,1.0
2019,paid_permanent_transfer,spine,1217,1217,1217.0
2019,permanent_undisclosed_fee,no_fee_source,583,0,0.0
2019,retirement_or_internal_exit,no_fee_source,36,0,0.0
2020,disclosed_free_transfer,spine,699,699,0.0
2020,loan_return,no_fee_source,1099,0,0.0
2020,loan_return,raw_api,15,15,15.0
2020,loan_with_fee,raw_api,44,44,44.0
2020,loan_with_fee,spine,112,112,112.0
2020,loan_without_fee_or_unknown,no_fee_source,1344,0,0.0
2020,other_review_required,spine,1,1,0.0
2020,paid_permanent_transfer,raw_api,1,1,1.0
2020,paid_permanent_transfer,spine,779,779,779.0
