validation_season,train_rows,train_players,evaluation_rows,evaluation_players,max_training_outcome_season,min_evaluation_outcome_season,known_eval_players,unseen_eval_players,missing_rate_rows,role_counts,league_counts
2016,259,184,174,163,2015,2016,76,98,174,"{""DEF"": 47, ""FWD"": 68, ""MID"": 59}","{""Bundesliga"": 28, ""La Liga"": 37, ""Ligue 1"": 25, ""Premier League"": 46, ""Serie A"": 38}"
2017,433,278,188,179,2016,2017,97,91,188,"{""DEF"": 66, ""FWD"": 65, ""MID"": 57}","{""Bundesliga"": 33, ""La Liga"": 36, ""Ligue 1"": 24, ""Premier League"": 46, ""Serie A"": 49}"
2018,621,367,221,211,2017,2018,110,111,221,"{""DEF"": 90, ""FWD"": 72, ""MID"": 59}","{""Bundesliga"": 30, ""La Liga"": 49, ""Ligue 1"": 32, ""Premier League"": 60, ""Serie A"": 50}"
2019,842,474,259,249,2018,2019,125,134,259,"{""DEF"": 82, ""FWD"": 93, ""MID"": 84}","{""Bundesliga"": 32, ""La Liga"": 54, ""Ligue 1"": 53, ""Premier League"": 51, ""Serie A"": 69}"
2020,1101,604,323,310,2019,2020,181,142,35,"{""DEF"": 106, ""FWD"": 114, ""MID"": 103}","{""Bundesliga"": 55, ""La Liga"": 67, ""Ligue 1"": 48, ""Premier League"": 59, ""Serie A"": 94}"
2021,1424,743,332,312,2020,2021,199,133,17,"{""DEF"": 106, ""FWD"": 111, ""MID"": 115}","{""Bundesliga"": 58, ""La Liga"": 70, ""Ligue 1"": 46, ""Premier League"": 62, ""Serie A"": 96}"
2022,1756,875,309,302,2021,2022,170,139,10,"{""DEF"": 110, ""FWD"": 115, ""MID"": 84}","{""Bundesliga"": 60, ""La Liga"": 65, ""Ligue 1"": 47, ""Premier League"": 54, ""Serie A"": 83}"
