fold,rows,players,roles,leagues,one_season_available,two_season_available
fold_2013_2017,635,370,3,5,621,365
fold_2018,225,213,3,5,221,142
fold_2019,267,254,3,5,259,142
fold_2020,327,314,3,5,323,204
fold_2021,663,534,3,5,643,194
