transfer_uid,prediction_key_base,prediction_key_collision_seq,prediction_key
k_167850_2021_summer_olympique lyon_fc barcelona,duplicate_outcome_row_same_prediction_event,-1.0,k_167850_2021_summer_olympique lyon_fc barcelona
k_167850_2021_summer_olympique lyon_fc barcelona,duplicate_outcome_row_same_prediction_event,-1.0,k_167850_2021_summer_olympique lyon_fc barcelona
k_355861_2021_summer_afc bournemouth_villarreal cf,duplicate_outcome_row_same_prediction_event,-1.0,k_355861_2021_summer_afc bournemouth_villarreal cf
k_355861_2021_summer_afc bournemouth_villarreal cf,duplicate_outcome_row_same_prediction_event,-1.0,k_355861_2021_summer_afc bournemouth_villarreal cf
