train,test,n,slope,spearman,sp_lo,sp_hi,pearson,pe_lo,pe_hi
early,late,919,11.101074408555062,0.03587724817895648,-0.030824513615082604,0.10206043661353212,0.0493521765244162,-0.02232149704768594,0.11752815370355772
late,early,1245,6.369396448671676,0.08644572624105994,0.03223429135162237,0.14228854143752198,0.0990302121727222,0.04441383774219096,0.1547368318015829
