player,from_league,age,position,efficiency,usage,mv_eur_m,fee_gbp_m,wage_gbp_m,npv_m,npv_lo_m,npv_hi_m,prog_pctl,talent_pctl
Piotr Zielinski,ITA-Serie A,27.6,MF,0.0781,0.092,10.0,8.5,7.1,-42.9,-42.4,-43.7,55.0,19.0
João Cancelo,ENG-Premier League,27.6,DF,0.0879,0.097,25.0,21.2,7.1,-43.7,-44.1,-43.7,63.0,61.0
John McGinn,ENG-Premier League,27.2,MF,0.0749,0.118,15.0,12.8,6.8,-45.5,-42.9,-48.1,30.0,55.0
Nabil Fekir,ESP-La Liga,28.5,MF,0.079,0.185,10.0,8.5,5.8,-46.5,-39.6,-53.2,56.0,37.0
Leandro Trossard,ENG-Premier League,27.1,FW,0.1049,0.143,20.0,17.0,9.4,-51.4,-53.9,-49.4,41.0,62.0
James Maddison,ENG-Premier League,25.1,MF,0.1014,0.162,30.0,25.5,8.8,-52.5,-53.6,-51.8,39.0,67.0
Youri Tielemans,ENG-Premier League,24.7,MF,0.075,0.127,35.0,29.8,7.8,-52.5,-50.4,-54.6,39.0,79.0
Hakan Calhanoglu,ITA-Serie A,27.9,MF,0.0812,0.129,22.0,18.7,9.5,-59.4,-58.6,-60.5,57.0,66.0
Leroy Sané,GER-Bundesliga,26.0,FW,0.1321,0.117,23.0,19.6,12.9,-59.5,-68.7,-51.6,70.0,81.0
Phil Foden,ENG-Premier League,21.6,MF,0.1659,0.078,150.0,127.5,11.7,-59.6,-71.0,-49.4,53.0,6.0
Nicolò Barella,ITA-Serie A,24.9,MF,0.1077,0.112,60.0,51.0,10.3,-59.6,-63.9,-56.0,54.0,74.0
Gabriel Jesus,ENG-Premier League,24.7,FW,0.1515,0.082,20.0,17.0,13.8,-59.7,-71.2,-49.5,39.0,56.0
Paulo Dybala,ITA-Serie A,28.1,FW,0.0892,0.149,5.0,4.2,11.1,-61.5,-62.3,-61.2,51.0,84.0
Lautaro Martínez,ITA-Serie A,24.4,FW,0.1686,0.12,85.0,72.2,14.2,-62.5,-77.8,-48.9,16.0,72.0
Bernardo Silva,ENG-Premier League,27.4,MF,0.134,0.086,27.0,22.9,13.7,-66.9,-75.9,-59.0,60.0,89.0
Alexander Isak,ESP-La Liga,22.3,FW,0.1444,0.124,120.0,102.0,14.6,-67.0,-80.0,-55.6,38.0,20.0
Trent Alexander-Arnold,ENG-Premier League,23.2,DF,0.1055,0.114,70.0,59.5,14.2,-73.0,-80.3,-66.8,50.0,35.0
Jack Grealish,ENG-Premier League,26.3,FW,0.1145,0.077,25.0,21.2,15.6,-75.1,-84.4,-67.1,83.0,35.0
Raphinha,ENG-Premier League,25.0,FW,0.0961,0.178,50.0,42.5,14.2,-79.2,-82.9,-76.3,52.0,75.0
Ousmane Dembélé,ESP-La Liga,24.6,FW,0.1293,0.101,100.0,85.0,15.5,-79.5,-90.3,-70.1,93.0,3.0
Joshua Kimmich,GER-Bundesliga,26.9,MF,0.1117,0.09,40.0,34.0,17.1,-87.5,-96.9,-79.5,61.0,82.0
Bruno Fernandes,ENG-Premier League,27.3,MF,0.0953,0.191,40.0,34.0,15.6,-91.1,-93.9,-89.1,40.0,79.0
Vinícius Júnior,ESP-La Liga,21.5,FW,0.161,0.126,180.0,153.0,21.3,-93.4,-113.6,-75.5,73.0,22.0
Harry Kane,ENG-Premier League,28.4,FW,0.1551,0.205,65.0,55.2,21.3,-99.7,-118.5,-83.0,28.0,63.0
Erling Haaland,GER-Bundesliga,21.4,FW,0.1895,0.126,200.0,170.0,27.3,-114.0,-142.2,-88.9,26.0,24.0
