segment,season,index,ci_lo,ci_hi,log_se,n
all,1992,44.87607966806335,35.895371638684836,56.103682297692295,0.11392680740057495,223
all,1993,36.56346410293462,29.970154543368345,44.60727438932772,0.10145278334398496,296
all,1994,43.122437596922694,35.886009703353885,51.818094005773496,0.09372241727527346,362
all,1995,48.40382292015256,39.99727662787221,58.57724002270718,0.09733032095103315,428
all,1996,56.665816248960034,46.97585466835799,68.35457819405633,0.09568234778232718,433
all,1997,86.10847346573756,72.30653126708648,102.54494404124105,0.08912926535636762,499
all,1998,94.03802716070918,78.04077172345275,113.31449391114543,0.0951366531641083,505
all,1999,109.90210766186463,91.27541193671179,132.3299781642729,0.0947492849758494,484
all,2000,110.09812173701677,91.10679796573679,133.04821023978496,0.09660181712894848,537
all,2001,137.01416065125954,112.78114642641448,166.4540644762622,0.09930362215311685,497
all,2002,122.30821088838033,98.29918826645134,152.18130194694595,0.11149408587208454,322
all,2003,92.40043248503636,73.76927129991637,115.73707823017958,0.1148925471242696,337
all,2004,97.12087489176746,79.71172035244052,118.33221385810366,0.10078556366300694,449
all,2005,94.91418985839745,79.14545179321888,113.82465109950608,0.0926968863353742,519
all,2006,96.13724339391547,80.85588816036152,114.30669772683157,0.08832060084003102,651
all,2007,117.94680551983257,100.3683609302393,138.60392660992358,0.08234015037159416,880
all,2008,120.51412544347693,102.16450675113195,142.15949250149123,0.08427685932215222,810
all,2009,114.67562769231678,96.83872812228125,135.79793788721915,0.08625536528224127,900
all,2010,100.0,100.0,100.0,0.0,876
all,2011,98.34069564853664,83.26303991485109,116.14868290333918,0.08491488962386777,1092
all,2012,111.60648097266362,94.43465976928161,131.90079389848455,0.08524028426257152,999
all,2013,110.48162094577067,92.6257100674526,131.7797030426657,0.08994001592306117,994
all,2014,119.40894996534746,100.56946390721086,141.7776010517693,0.08760483881869623,968
all,2015,155.80741602317784,132.44788984816924,183.28680748064906,0.08287318777249608,1133
all,2016,173.58226523321486,146.81652241308112,205.227601827528,0.08544284585098393,1153
all,2017,215.37674998849442,181.20055401387572,255.99891064380665,0.08815529033085544,1194
all,2018,207.58634693748922,173.61553027347372,248.20412878372312,0.09117557377876959,1147
all,2019,231.5140264465468,193.7755757314893,276.6021684578195,0.09078561112020497,1218
all,2020,213.07614645594896,175.3358958298645,258.93981362819096,0.09946227446918404,779
all,2021,208.670328614214,173.20292480661678,251.40052393792254,0.09504681055480331,801
all,2022,280.4343976985723,235.62509584862488,333.7651752642035,0.08882543690060855,794
all,2023,274.98874511302415,233.46906129033727,323.89220876164734,0.08351051095126989,989
all,2024,243.5567451058612,206.7577839384337,286.9052228970743,0.08357243499491541,1157
all,2025,291.91595997631816,244.98509629665577,347.83719082122235,0.0894227424954315,942
elite,1992,45.523785219827765,37.848113839112266,54.756097742428956,0.09421112006741561,24
elite,1993,34.35760027841514,28.66680657925475,41.17810240313276,0.09238947238447737,30
elite,1994,31.340971211242685,26.792522432014348,36.66159014913227,0.08000173015472278,39
elite,1995,43.136906821927084,37.1715392500446,50.05960925229607,0.0759365014919993,44
elite,1996,44.47284634151267,38.017698203233614,52.02403499398529,0.08001378309308976,46
elite,1997,60.63933076096213,50.983416488385835,72.12400989202102,0.08849147553963593,54
elite,1998,72.07548490236768,61.19078447831372,84.89637072315223,0.08352927218809753,53
elite,1999,93.27857994413931,78.24791090450005,111.19649554624466,0.089647126298514,49
elite,2000,119.5446884112451,102.12868789926179,139.93063870004912,0.08033499944739521,54
elite,2001,135.59813797249168,113.70615438482932,161.7050116687445,0.0898357735099264,50
elite,2002,116.14418079452959,92.71941478652715,145.487013302337,0.1149257498936535,35
elite,2003,108.42061239511678,88.93526307410214,132.1751213839407,0.10107627464455465,37
elite,2004,91.168306556163,74.90539268570416,110.96210596202924,0.10024562981923016,47
elite,2005,77.17042536070593,64.0657012842381,92.95573810908151,0.09495262913246458,53
elite,2006,75.7976859807058,64.33630606360869,89.30088703490951,0.08364472286300093,67
elite,2007,88.57695880685122,76.46093592875641,102.61289031017262,0.07504683480608962,89
elite,2008,91.44494774917689,78.68429388901866,106.27506527089432,0.0766803883412166,93
elite,2009,107.04359024383226,88.87453733939898,128.92703079321532,0.09490329316054154,92
elite,2010,100.0,100.0,100.0,0.0,89
elite,2011,89.43289726653268,75.80650767864132,105.50866091064783,0.08433900541913657,112
elite,2012,93.38197995709982,79.58977072403694,109.56425808718409,0.0815371512459427,111
elite,2013,132.74589091534682,110.55973235478788,159.384173420044,0.093306513716319,100
elite,2014,131.5086913737075,112.54237191635465,153.67132940541669,0.07946079262251793,97
